LOOK_BACK,WIN_SIZE,OVERLAP,WIN_STEP,N_WINDOWS,MSE,RMSE,RAE,R2
10,4,0.25,3,3,0.0049365563,0.07024546,0.21439676,0.94127226
10,4,0.5,2,4,0.004859905,0.06959407,0.21192697,0.94218415
10,4,0.75,1,7,0.0046278285,0.067960374,0.20532942,0.94494504
10,6,0.25,4,2,0.0049783895,0.0704319,0.21289799,0.9407746
10,6,0.5,3,2,0.0052182083,0.07220551,0.22057295,0.9379215
10,6,0.75,1,5,0.0050688833,0.071063176,0.21083279,0.93969804
10,8,0.25,6,1,0.007792926,0.08820946,0.25852215,0.90729153
10,8,0.5,4,1,0.00792362,0.088906966,0.26563674,0.9057366
10,8,0.75,2,2,0.005322305,0.072868004,0.21720755,0.9366832
15,4,0.25,3,4,0.00801773,0.08945449,0.27111125,0.9046774
15,4,0.5,2,6,0.008257161,0.09076219,0.27608484,0.90183085
15,4,0.75,1,12,0.008488063,0.091372825,0.27016157,0.8990857
15,6,0.25,4,3,0.007023994,0.08368792,0.26147202,0.91649187
15,6,0.5,3,4,0.0065554352,0.08091794,0.2482417,0.9220626
15,6,0.75,1,10,0.0072977357,0.08539389,0.26324075,0.91323745
15,8,0.25,6,2,0.0068271495,0.08254941,0.2585948,0.9188322
15,8,0.5,4,2,0.007708357,0.087746814,0.2745092,0.90835553
15,8,0.75,2,4,0.007455277,0.08616277,0.26941776,0.9113644
20,4,0.25,3,6,0.009759115,0.098647974,0.3035794,0.8840437
20,4,0.5,2,9,0.010980384,0.10412258,0.31468958,0.8695326
20,4,0.75,1,17,0.009831447,0.09861578,0.3068861,0.88318413
20,6,0.25,4,4,0.010513711,0.10102503,0.31217387,0.8750776
20,6,0.5,3,5,0.011267181,0.105292425,0.32541808,0.866125
20,6,0.75,1,15,0.009894987,0.09940921,0.30988908,0.88242924
20,8,0.25,6,3,0.009054193,0.0944729,0.29391304,0.89241934
20,8,0.5,4,4,0.009282872,0.09626767,0.29745287,0.8897022
20,8,0.75,2,7,0.008881328,0.093526825,0.29141873,0.89447325
25,4,0.25,3,8,0.023793967,0.15224552,0.42490593,0.71745527
25,4,0.5,2,11,0.02156367,0.14437707,0.413623,0.7439393
25,4,0.75,1,22,0.020813406,0.14166392,0.40168595,0.7528483
25,6,0.25,4,5,0.034869812,0.18204686,0.48185426,0.5859337
25,6,0.5,3,7,0.022010135,0.14535007,0.41727155,0.7386376
25,6,0.75,1,20,0.014234209,0.11843628,0.36820668,0.830974
25,8,0.25,6,3,0.03256275,0.18006596,0.48669672,0.61332923
25,8,0.5,4,5,0.021137152,0.1448324,0.40909633,0.749004
25,8,0.75,2,9,0.024245411,0.15459266,0.44075927,0.7120946
30,4,0.25,3,9,0.03735192,0.19011053,0.5208611,0.556725
30,4,0.5,2,14,0.026902717,0.16143076,0.45680285,0.68073124
30,4,0.75,1,27,0.026076322,0.15698345,0.44890672,0.6905385
30,6,0.25,4,7,0.041198842,0.19991012,0.52498,0.51107156
30,6,0.5,3,9,0.038312707,0.1917293,0.5177854,0.5453229
30,6,0.75,1,25,0.015660785,0.124824606,0.39343983,0.8141452
30,8,0.25,6,4,0.062574506,0.24390987,0.62090546,0.25739527
30,8,0.5,4,6,0.047505014,0.2134111,0.5733427,0.43623295
30,8,0.75,2,12,0.032904346,0.17213264,0.48328567,0.6095067
